Scene Number,Start Time,End Time,Duration (seconds),Start Frame,End Frame
1,00:00:00.000,00:00:04.167,4.17,0,125
2,00:00:04.167,00:00:08.133,3.97,125,244
3,00:00:08.133,00:00:11.833,3.70,244,355
